"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.trigyn.jws.dashboard.entities","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dashboard\entities\DashboardDashletAssociation.java","3","67","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"2","com.trigyn.jws.dashboard.entities","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dashboard\entities\Dashlet.java","3","329","Ensure you override both equals() and hashCode()","Error Prone","OverrideBothEqualsAndHashcode"
"3","com.trigyn.jws.dynamicform.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynamicform\service\DynamicFormService.java","3","271","These nested if statements could be combined","Design","CollapsibleIfStatements"
"4","com.trigyn.jws.dynamicform.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynamicform\service\DynamicFormService.java","3","317","These nested if statements could be combined","Design","CollapsibleIfStatements"
"5","com.trigyn.jws.dynamicform.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynamicform\service\DynamicFormService.java","3","358","These nested if statements could be combined","Design","CollapsibleIfStatements"
"6","com.trigyn.jws.dynamicform.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynamicform\service\DynamicFormService.java","3","390","These nested if statements could be combined","Design","CollapsibleIfStatements"
"7","com.trigyn.jws.dynamicform.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynamicform\service\DynamicFormService.java","3","403","These nested if statements could be combined","Design","CollapsibleIfStatements"
"8","com.trigyn.jws.dynamicform.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynamicform\service\DynamicFormService.java","3","416","These nested if statements could be combined","Design","CollapsibleIfStatements"
"9","com.trigyn.jws.dynamicform.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynamicform\service\DynamicFormService.java","3","429","These nested if statements could be combined","Design","CollapsibleIfStatements"
"10","com.trigyn.jws.dynarest.cipher.utils","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\cipher\utils\ScriptUtil.java","3","727","Avoid returning from a finally block","Error Prone","ReturnFromFinallyBlock"
"11","com.trigyn.jws.dynarest.cipher.utils","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\cipher\utils\ScriptUtil.java","3","776","Avoid returning from a finally block","Error Prone","ReturnFromFinallyBlock"
"12","com.trigyn.jws.dynarest.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\service\FilesStorageServiceImpl.java","2","573","Method call on object which may be null","Error Prone","BrokenNullCheck"
"13","com.trigyn.jws.dynarest.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\service\FilesStorageServiceImpl.java","2","608","Method call on object which may be null","Error Prone","BrokenNullCheck"
"14","com.trigyn.jws.dynarest.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\service\FilesStorageServiceImpl.java","2","608","Method call on object which may be null","Error Prone","BrokenNullCheck"
"15","com.trigyn.jws.dynarest.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\service\FilesStorageServiceImpl.java","2","715","Avoid using a branching statement as the last in a loop.","Error Prone","AvoidBranchingStatementAsLastInLoop"
"16","com.trigyn.jws.dynarest.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\service\JwsDynamicRestDetailService.java","3","325","These nested if statements could be combined","Design","CollapsibleIfStatements"
"17","com.trigyn.jws.dynarest.service","D:\Mini\Trigyn\Jav_Web_Starter\deployment\jws_deployment\jws\maven-common-utils\java-web-starter\src\main\java\com\trigyn\jws\dynarest\service\JwsDynamicRestDetailService.java","3","598","These nested if statements could be combined","Design","CollapsibleIfStatements"
